method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,sirl_like_lp_stats_score,optargus_like_audit_score,optirepair_like_repair_score,or_r1_like_voting_score,objective_consensus_score,selection_policy,uses_reference_objective_for_selection,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_order_cost,detected_order_cost,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost,expected_demand_satisfaction,detected_demand_satisfaction,expected_nonnegative_bounds,detected_nonnegative_bounds,expected_objective_minimize,detected_objective_minimize
Direct,single_period_newsvendor_0000,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,111.0,111.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10610567301046103,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0001,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,122.0,122.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10821716097416356,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0002,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,580.0,580.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,0.9624999999999999,0.75,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.1099345069960691,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0003,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,84.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.07520193402888253,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v6_typeaware_consensusrerank_v2_20260620_183518/candidate_runs/single_period_newsvendor_0003/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v6_typeaware_consensusrerank_v2_20260620_183518/candidate_runs/single_period_newsvendor_0003/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 14, in build_model
    prob += unit_order_cost * order_quantity + holding_cost * max(order_quantity - demand, 0) + shortage_cost * max(demand - order_quantity, 0)
TypeError: '>' not supported between instances of 'int' and 'LpAffineExpression'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0004,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,114.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.06921866297489032,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v6_typeaware_consensusrerank_v2_20260620_183518/candidate_runs/single_period_newsvendor_0004/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v6_typeaware_consensusrerank_v2_20260620_183518/candidate_runs/single_period_newsvendor_0004/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 10, in build_model
    total_cost = (unit_order_cost * order_quantity) + (holding_cost * (order_quantity - demand)) + (shortage_cost * max(demand - order_quantity, 0))
TypeError: '>' not supported between instances of 'int' and 'LpAffineExpression'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0005,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,275.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.07102780201239511,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v6_typeaware_consensusrerank_v2_20260620_183518/candidate_runs/single_period_newsvendor_0005/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_v6_typeaware_consensusrerank_v2_20260620_183518/candidate_runs/single_period_newsvendor_0005/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 10, in build_model
    total_cost = (unit_order_cost * order_quantity) + (holding_cost * (order_quantity - demand)) + (shortage_cost * max(demand - order_quantity, 0))
TypeError: '>' not supported between instances of 'int' and 'LpAffineExpression'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0006,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,435.0,435.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10595682403072715,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0007,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,200.0,200.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09934551402693614,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0008,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,98.0,98.0,1.0,1.0,0.0,0.8333333333333334,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09540214494336396,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0009,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,164.0,164.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.11315932602155954,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0010,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,370.0,370.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.1284338029799983,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0011,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,440.0,440.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10518472403055057,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
