method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,sirl_like_lp_stats_score,optargus_like_audit_score,optirepair_like_repair_score,or_r1_like_voting_score,objective_consensus_score,selection_policy,uses_reference_objective_for_selection,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_order_cost,detected_order_cost,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost,expected_demand_satisfaction,detected_demand_satisfaction,expected_nonnegative_bounds,detected_nonnegative_bounds,expected_objective_minimize,detected_objective_minimize
Direct,single_period_newsvendor_0000,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,111.0,111.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09765365207567811,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0001,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,122.0,122.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.15669349394738674,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0002,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,580.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.14120159693993628,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_robust_tac_20260625_165815_v8/candidate_runs/single_period_newsvendor_0002/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_robust_tac_20260625_165815_v8/candidate_runs/single_period_newsvendor_0002/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 22, in build_model
    holding_cost = max(0, order_quantity - 116) * 1
TypeError: '>' not supported between instances of 'LpAffineExpression' and 'int'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0003,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Unbounded,420.0,84.0,0.0,0.0,4.0,0.5555555555555556,0.5555555555555556,0.6480000000000001,0.8600000000000001,0.7440000000000001,0.6,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09473782195709646,3,,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True
Direct,single_period_newsvendor_0004,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,114.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.09844671399332583,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_robust_tac_20260625_165815_v8/candidate_runs/single_period_newsvendor_0004/Qwen3-8B_k0/_runner.py"", line 53, in <module>
    model = namespace[""build_model""]()
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_robust_tac_20260625_165815_v8/candidate_runs/single_period_newsvendor_0004/Qwen3-8B_k0/Qwen3-8B_k0.py"", line 10, in build_model
    prob += (unit_order_cost * order_quantity) + (holding_cost * (order_quantity - demand)) + (shortage_cost * max(demand - order_quantity, 0))
TypeError: '>' not supported between instances of 'int' and 'LpAffineExpression'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0005,Qwen3-8B_k0,single_period_newsvendor,easy,True,False,Error,,275.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024999999999999994,0.1,0.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.06654551706742495,0,"Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/replenishverifier/solver/pulp_runner.py"", line 35, in _export_lp
    model.writeLP(str(lp_path))
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 1769, in writeLP
    return mpslp.writeLP(
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/mps_lp.py"", line 336, in writeLP
    f.write(LpProblem.objective.asCplexLpAffineExpression(objName, constant=0))
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 826, in asCplexLpAffineExpression
    result, line = self.asCplexVariablesOnly(name)
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 797, in asCplexVariablesOnly
    variables = self.sorted_keys()
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 774, in sorted_keys
    result = [(v.name, v) for v in self.keys()]
  File ""/home/cosine/.conda/envs/replenish/lib/python3.10/site-packages/pulp/pulp.py"", line 774, in <listcomp>
    result = [(v.name, v) for v in self.keys()]
AttributeError: 'int' object has no attribute 'name'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/home/cosine/DAR/ReplenishVerifier/runs/qwen3_8b_k8_100_robust_tac_20260625_165815_v8/candidate_runs/single_period_newsvendor_0005/Qwen3-8B_k0/_runner.py"", line 58, in <module>
    solve_result = solve_pulp_model(model, lp_path=lp_path, msg=False, time_limit=time_limit)
  File ""/home/cosine/DAR/ReplenishVerifier/replenishverifier/solver/pulp_runner.py"", line 55, in solve_pulp_model
    lp_path, solver_lp_export_time = _export_lp(model, lp_path)
  File ""/home/cosine/DAR/ReplenishVerifier/replenishverifier/solver/pulp_runner.py"", line 37, in _export_lp
    raise RuntimeError(f""LP export failed: writeLP raised {exc}"") from exc
RuntimeError: LP export failed: writeLP raised 'int' object has no attribute 'name'
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct,single_period_newsvendor_0006,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,435.0,435.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.11119212699122727,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0007,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,200.0,200.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.14745101192966104,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0008,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,98.0,98.0,1.0,1.0,0.0,0.8333333333333334,1.0,0.8840000000000001,1.0,1.0,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.10653875197749585,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
Direct,single_period_newsvendor_0009,Qwen3-8B_k0,single_period_newsvendor,easy,True,True,Optimal,164.0,164.0,1.0,1.0,0.0,0.8611111111111112,1.0,0.8933333333333334,0.9916666666666666,0.9966666666666667,1.0,1.0,"candidate order only, with Hard Selection Gate for formal score; no reference objective",False,0.14632050797808915,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
