method,problem_id,candidate_id,parsed_candidate_rank,candidate_rank_parse_reason,matched_candidate_id,executable,solver_status,objective_correct_posthoc,structure_score,consensus_score,selection_score,type_aware_score,hard_gate_score,type_aware_hard_gate_failures,critical_missing_structures,selected
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k0,0,ok,Qwen3-8B_k0,True,Optimal,1.0,0.85,1.0,0.9475,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k1,1,ok,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k2,2,ok,Qwen3-8B_k2,True,Optimal,1.0,0.85,1.0,0.9475,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k3,3,ok,Qwen3-8B_k3,True,Optimal,1.0,0.85,1.0,0.9475,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k4,4,ok,Qwen3-8B_k4,True,Optimal,1.0,0.85,1.0,0.9475,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k5,5,ok,Qwen3-8B_k5,True,Optimal,1.0,0.875,1.0,0.9562499999999999,1.0,1.0,,,True
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k6,6,ok,Qwen3-8B_k6,True,Infeasible,0.0,0.85,0.0,0.0,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k7,7,ok,Qwen3-8B_k7,True,Optimal,1.0,0.85,1.0,0.9475,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k0,0,ok,Qwen3-8B_k0,True,Optimal,1.0,0.85,1.0,0.9475,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k1,1,ok,Qwen3-8B_k1,True,Optimal,1.0,0.82,1.0,0.9369999999999999,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k2,2,ok,Qwen3-8B_k2,True,Optimal,1.0,0.82,1.0,0.9369999999999999,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k3,3,ok,Qwen3-8B_k3,True,Optimal,1.0,0.86,1.0,0.951,1.0,1.0,,,True
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k4,4,ok,Qwen3-8B_k4,True,Optimal,1.0,0.845,1.0,0.94575,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k5,5,ok,Qwen3-8B_k5,True,Optimal,1.0,0.82,1.0,0.9369999999999999,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k6,6,ok,Qwen3-8B_k6,True,Optimal,1.0,0.835,1.0,0.9422499999999999,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k7,7,ok,Qwen3-8B_k7,True,Optimal,1.0,0.82,1.0,0.9369999999999999,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k0,0,ok,Qwen3-8B_k0,True,Optimal,1.0,0.835,1.0,0.9422499999999999,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k1,1,ok,Qwen3-8B_k1,True,Optimal,1.0,0.86,1.0,0.951,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k2,2,ok,Qwen3-8B_k2,True,Optimal,1.0,0.86,1.0,0.951,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k3,3,ok,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,1.0,1.0,,,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k4,4,ok,Qwen3-8B_k4,True,Optimal,1.0,0.86,1.0,0.951,1.0,1.0,,,False
