problem_id,problem_type,selected_candidate_id,full_candidate_id,challenger_candidate_id,overridden,override_reason,full_structure_score,challenger_structure_score,full_constraint_coverage,challenger_constraint_coverage,full_objective_term_coverage,challenger_objective_term_coverage,full_objective_consensus_score,challenger_objective_consensus_score,full_critical_missing_structures,challenger_critical_missing_structures,posthoc_selected_objective_correct,posthoc_note
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.5555555555555556,,0.6666666666666666,,0.3333333333333333,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k3,Qwen3-8B_k3,,False,no_viable_challenger,0.5555555555555556,,0.6666666666666666,,0.3333333333333333,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0005,single_period_newsvendor,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,,,0.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0006,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k6,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0007,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k5,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0008,single_period_newsvendor,Qwen3-8B_k2,Qwen3-8B_k2,Qwen3-8B_k2,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0009,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k2,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
