method,problem_id,candidate_id,parsed_candidate_rank,executable,solver_status,objective_correct_posthoc,structure_score,consensus_score,selection_score,selected
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k0,0,True,Optimal,1.0,0.85,1.0,0.9475,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k1,1,True,Optimal,1.0,0.85,1.0,0.9475,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k2,2,True,Optimal,1.0,0.85,1.0,0.9475,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k3,3,True,Optimal,1.0,0.85,1.0,0.9475,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k4,4,True,Optimal,1.0,0.85,1.0,0.9475,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k5,5,True,Optimal,1.0,0.85,1.0,0.9475,True
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k6,6,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k7,7,True,Optimal,1.0,0.85,1.0,0.9475,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k0,0,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k1,1,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k2,2,True,Optimal,1.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k3,3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k4,4,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k5,5,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k6,6,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k7,7,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k0,0,True,Optimal,1.0,0.845,0.6666666666666666,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k1,1,False,Error,0.0,0.0,0.0,0.0,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k2,2,True,Optimal,1.0,0.875,0.6666666666666666,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k3,3,True,Optimal,1.0,0.845,0.6666666666666666,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k4,4,False,Error,0.0,0.0,0.0,0.0,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k5,5,True,Optimal,1.0,0.845,0.6666666666666666,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k6,6,True,Optimal,0.0,0.845,0.3333333333333333,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k7,7,True,Optimal,0.0,0.845,0.3333333333333333,0.94575,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k0,0,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k1,1,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k2,2,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k3,3,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k4,4,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k5,5,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k6,6,True,Optimal,1.0,0.86,1.0,0.951,True
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k7,7,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
