# ReplenishVerifier 额外参考文献矩阵

| Work | Task Setting | Solver Feedback | LP Artifact | Domain-Specific Rules | Candidate Selection | Repair Feedback | Preference Data | How to Compare |
|---|---|---:|---:|---:|---:|---:|---:|---|
| OptArgus | Optimization-modeling hallucination detection | partial | possible | generic taxonomy | no | audit report | no | Implement OptArgus-like Audit: generic objective/variable/constraint/implementation errors |
| OptiRepair | Supply-chain optimization model diagnosis and repair | yes | possible | inventory rationality checks | no | yes | trained repair models | Implement OptiRepair-like Repair: execution/infeasible feedback only, no semantic LP rules |
| SIRL | Solver-informed RL for optimization modeling | yes | yes | no, generic | training reward | no | RL reward | Implement SIRL-like LP-Stats: LP exists, variables, constraints, binary, bounds |
| OR-R1 | SFT + TGRPO for OR modeling | yes | indirectly | no domain-specific | voting/reward | no | RL | Implement OR-R1-like Voting / objective consensus without reference objective |
| StepORLM | GenPRM + W-DPO process supervision | yes | possible evidence | no domain-specific | yes through PRM | critique | W-DPO | Position LP-structure evidence as a verifiable process signal |
| OptiMUS | LLM agent for MILP/LP modeling and debugging | yes | solver code | no | agent decisions | debug | no | Compare as general agentic modeling/debugging, not direct full replication |
| ORLM | Training OR LLM + IndustryOR | evaluation | no direct | no | model output | no | SFT/RL | Use as benchmark/data synthesis reference |
| LLMOPT | General optimization formulation learning | execution/testing | solver code | no | no | self-correction | alignment | Compare as general optimization learning, not structure verifier |
| OptMATH | Bidirectional data synthesis | validation | possible | no | no | no | SFT data | Use as benchmark construction/data quality control reference |
| NL4Opt | NL to LP entities/logical form | no direct solver loop | logical form | LP entities | no | no | dataset | Cite as early task/benchmark |
| MAMO | Mathematical modeling benchmark with solvers | yes | .lp in optimization part | no | evaluation | no | no | Use as external benchmark context |
| IndustryOR | Real-world OR benchmark | depends | no labels | no | evaluation | no | no | Use for external validation subset |
| Inventory RL papers | Inventory policy learning | environment reward | no | yes domain | policy | no | RL | Use for domain motivation, not direct baseline |
