method,problem_id,candidate_id,executable,solver_status,objective_correct_posthoc,structure_score,consensus_score,selection_score,selected
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k0,True,Optimal,1.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k1,True,Optimal,1.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k2,True,Optimal,1.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k3,True,Optimal,1.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k0,True,Optimal,1.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k1,True,Optimal,1.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k2,True,Optimal,1.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k3,True,Optimal,1.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k0,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k1,True,Optimal,1.0,0.86,1.0,0.951,True
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k2,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k3,True,Optimal,1.0,0.82,1.0,0.9369999999999999,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k0,True,Optimal,1.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k1,True,Optimal,1.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k2,True,Optimal,1.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k3,True,Optimal,1.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k0,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k2,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k0,True,Optimal,1.0,0.875,0.25,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k1,True,Optimal,0.0,0.875,0.75,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k2,True,Optimal,0.0,0.875,0.75,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k3,True,Optimal,0.0,0.875,0.75,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k0,True,Optimal,1.0,0.835,1.0,0.9422499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k1,True,Optimal,1.0,0.835,1.0,0.9422499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k2,True,Optimal,1.0,0.835,1.0,0.9422499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k3,True,Optimal,1.0,0.85,1.0,0.9475,True
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k0,True,Optimal,1.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k1,True,Optimal,1.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k2,True,Optimal,1.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k3,True,Optimal,1.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k0,True,Optimal,1.0,0.835,1.0,0.9422499999999999,False
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k1,True,Optimal,1.0,0.835,1.0,0.9422499999999999,False
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k2,True,Optimal,1.0,0.835,1.0,0.9422499999999999,True
